epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
1,0.8805,0.8696,0.253,0.5048,0.0604,0.2154,0.0604,0.0071,0.0036,0.4296,0.0071,0.515,0.0024,0.1187,0.1742,0.1033,0.1187,0.9972,0.0598,0.0554,0.0444,0.1134,0.0554,0.9957,0.0448
2,0.8622,0.8625,0.7259,0.9182,0.1286,0.2954,0.1286,0.0033,0.0018,0.0522,0.0033,0.9505,0.0021,0.2093,0.1435,0.6124,0.2093,0.9721,0.0621,0.1732,0.1818,0.2215,0.1732,0.9986,0.111
3,0.8552,0.8602,0.946,0.9299,0.1023,0.3094,0.1023,0.0013,0.0008,0.0111,0.0013,0.984,0.001,0.1672,0.1019,0.7535,0.1672,0.9485,0.0418,0.1385,0.1913,0.1635,0.1385,0.9992,0.0747
4,0.8495,0.855,0.9577,0.9424,0.178,0.3713,0.178,0.001,0.0006,0.0088,0.001,0.9756,0.0007,0.2756,0.1953,0.7601,0.2756,0.9704,0.0938,0.2573,0.3098,0.3449,0.2573,0.9979,0.1453
5,0.845,0.8512,0.9705,0.9403,0.1939,0.4134,0.1939,0.002,0.0013,0.013,0.002,0.9796,0.0015,0.3211,0.2331,0.8255,0.3211,0.9673,0.1184,0.2586,0.279,0.4018,0.2586,0.994,0.1474
6,0.8401,0.8522,0.973,0.9283,0.1913,0.4269,0.1913,0.0017,0.001,0.0154,0.0017,0.9702,0.0013,0.2857,0.1925,0.8905,0.2857,0.9623,0.0846,0.2864,0.3376,0.3748,0.2864,0.996,0.179
7,0.8319,0.8351,0.9722,0.9454,0.1894,0.463,0.1894,0.0139,0.0114,0.031,0.0139,0.9888,0.0064,0.2987,0.2211,0.7047,0.2987,0.9741,0.0999,0.2557,0.1929,0.6534,0.2557,0.9828,0.1071
8,0.8242,0.8259,0.9789,0.9613,0.2287,0.4332,0.2287,0.0043,0.0033,0.0125,0.0043,0.9916,0.0027,0.3534,0.2586,0.8523,0.3534,0.9724,0.0959,0.3285,0.3461,0.4347,0.3285,0.9978,0.1862
9,0.8193,0.8234,0.9818,0.9445,0.194,0.4677,0.194,0.0101,0.0085,0.0206,0.0101,0.9938,0.0054,0.2596,0.1666,0.8981,0.2596,0.9561,0.0545,0.3122,0.2952,0.4843,0.3122,0.9945,0.1751
10,0.8148,0.8157,0.9837,0.9643,0.2442,0.4675,0.2442,0.0295,0.0274,0.0444,0.0295,0.9939,0.0088,0.3622,0.2688,0.8522,0.3622,0.9739,0.1001,0.341,0.3131,0.5059,0.341,0.9969,0.1921
11,0.8106,0.8158,0.9836,0.9396,0.2003,0.4856,0.2003,0.0442,0.039,0.0749,0.0442,0.9934,0.0131,0.2649,0.1779,0.8429,0.2649,0.9578,0.0681,0.2917,0.2671,0.539,0.2917,0.9884,0.1807
12,0.8058,0.8095,0.9847,0.968,0.2552,0.426,0.2517,0.0261,0.0216,0.0432,0.0261,0.9934,0.007,0.383,0.3134,0.7174,0.383,0.9838,0.1457,0.3566,0.3878,0.5173,0.3459,0.9924,0.2229
13,0.8012,0.8074,0.9858,0.9593,0.2352,0.508,0.2352,0.0579,0.058,0.082,0.0579,0.9964,0.0241,0.3069,0.2043,0.8562,0.3069,0.9725,0.0762,0.341,0.3039,0.5857,0.341,0.9905,0.2177
14,0.7973,0.8035,0.9856,0.954,0.2456,0.4998,0.2456,0.0995,0.0964,0.1569,0.0995,0.9957,0.0476,0.304,0.2092,0.8952,0.304,0.9632,0.0766,0.3334,0.3516,0.4473,0.3334,0.9951,0.2514
15,0.7928,0.7959,0.9859,0.9707,0.2823,0.5186,0.2823,0.1448,0.1427,0.2186,0.1448,0.9963,0.0656,0.3462,0.2656,0.7414,0.3462,0.9815,0.1146,0.3559,0.3225,0.5959,0.3559,0.9934,0.2318
16,0.7883,0.7961,0.9861,0.947,0.2535,0.558,0.2535,0.1446,0.1516,0.2234,0.1446,0.9958,0.0809,0.2541,0.1707,0.8741,0.2541,0.9558,0.0643,0.3617,0.3234,0.5767,0.3617,0.9952,0.248
17,0.7836,0.7872,0.9874,0.9817,0.3271,0.5249,0.3235,0.2216,0.2411,0.2968,0.2216,0.9971,0.1068,0.4045,0.3331,0.6497,0.4045,0.9918,0.1684,0.3552,0.2913,0.6283,0.3444,0.9939,0.2277
18,0.7799,0.7888,0.9862,0.9556,0.2551,0.5863,0.2551,0.211,0.2215,0.3317,0.211,0.9958,0.1084,0.2282,0.144,0.7821,0.2282,0.9671,0.0598,0.326,0.2718,0.6452,0.326,0.9927,0.2184
19,0.7753,0.7799,0.9879,0.9708,0.3153,0.5736,0.3153,0.1882,0.1656,0.3195,0.1882,0.9953,0.1022,0.3716,0.2591,0.8593,0.3716,0.9792,0.1049,0.3863,0.377,0.5422,0.3863,0.9965,0.2933
20,0.7713,0.7722,0.9874,0.9804,0.3679,0.5958,0.3679,0.2884,0.336,0.3501,0.2884,0.9978,0.1436,0.4241,0.3132,0.8289,0.4241,0.9856,0.143,0.3913,0.3607,0.6084,0.3913,0.9974,0.2899
21,0.7662,0.7693,0.9893,0.9807,0.4112,0.5856,0.4076,0.3712,0.4836,0.4074,0.3712,0.9986,0.1865,0.4243,0.333,0.7819,0.4243,0.9846,0.1615,0.4381,0.4113,0.5676,0.4274,0.998,0.3245
