epoch,train_loss,val_loss,dice_wt,dice_tc,dice_et,dice_total,precision_wt,precision_tc,precision_et,precision_total,recall_wt,recall_tc,recall_et,recall_total,f1_wt,f1_tc,f1_et,f1_total,specificity_wt,specificity_tc,specificity_et,train_accuracy,boundary_dice_wt,boundary_dice_tc,boundary_dice_et,Val_Accuracy
1,0.820350566,0.77535324,4.42E-05,0.136571878,0.041900076,0.059505395,2.42E-05,0.074689929,0.022309382,0.032341164,0.000259081,0.796420522,0.343829251,0.380169618,4.42E-05,0.136571872,0.041900076,0.059505393,0.970631442,0.933857624,0.970946189,0.622857265,0.000117917,0.040969512,0.01272979,0.9954
2,0.720627459,0.717604446,0.005221918,0.236279854,0.050510322,0.097337365,0.003143763,0.152058119,0.026329753,0.060510545,0.015405733,0.529631171,0.618804015,0.387946973,0.005221918,0.236279845,0.050510322,0.097337362,0.986609984,0.980201052,0.955877043,0.820930585,0.002874711,0.039602435,0.010307003,0.9954
3,0.578698321,0.636767585,0.059974872,0.196957861,0.136297996,0.13107691,0.049902801,0.123515036,0.078182018,0.083866618,0.07514083,0.485843387,0.531049117,0.364011111,0.059974872,0.196957854,0.136297996,0.131076907,0.996078654,0.976888239,0.987926884,0.840694429,0.011054316,0.075705968,0.013189718,0.9954
4,0.469049298,0.608547598,0.187456751,0.231712324,0.167307337,0.195492138,0.166304056,0.157579081,0.10126479,0.141715976,0.214774548,0.437565442,0.481012589,0.377784193,0.187456751,0.231712324,0.167307337,0.195492138,0.997048766,0.984318569,0.991768554,0.849522078,0.003697147,0.071377957,0.030115476,0.9954
5,0.409413555,0.589390529,0.176977907,0.221568479,0.099805338,0.166117241,0.136653688,0.146512002,0.054678473,0.112614721,0.251062148,0.454302754,0.571338671,0.425567857,0.176977907,0.221568479,0.099805338,0.166117241,0.995652286,0.982258853,0.980954027,0.864958141,0.005380059,0.0797285,0.10409367,0.9954
6,0.377433793,0.573070488,0.182119752,0.228557126,0.100454992,0.17037729,0.119050665,0.148542026,0.055734624,0.107775771,0.387296651,0.495430643,0.508324972,0.463684089,0.182119752,0.228557126,0.100454992,0.17037729,0.992144409,0.980962547,0.983394314,0.88883639,0.004995224,0.104176688,0.09916525,0.9954
7,0.363948933,0.577917539,0.174011868,0.212619246,0.087594849,0.158075321,0.105641669,0.143533543,0.048004423,0.099059878,0.493216509,0.409924505,0.499755371,0.467632128,0.174011868,0.212619246,0.087594849,0.158075321,0.988554628,0.983602677,0.980890139,0.942105092,0.006458668,0.117145399,0.081382901,0.9954
8,0.345818787,0.572207875,0.201281942,0.21293267,0.108394327,0.17420298,0.130387485,0.154201246,0.060356074,0.114981602,0.441138182,0.343925256,0.531121263,0.438728234,0.201281942,0.21293267,0.108394327,0.17420298,0.991935443,0.987353937,0.984056546,0.992342002,0.036794653,0.080098606,0.061111072,0.9954
9,0.325403608,0.54655139,0.297937702,0.225818505,0.171681983,0.23181273,0.267119429,0.150977703,0.09997082,0.172689317,0.33679458,0.447792923,0.607338877,0.46397546,0.297937702,0.225818515,0.171681983,0.231812733,0.997467154,0.983119099,0.989457083,0.995234994,0.078773977,0.083212236,0.067476013,0.9954
10,0.311266788,0.525456716,0.289243096,0.290550917,0.240109945,0.273301319,0.279576852,0.19488381,0.150965942,0.208475535,0.299601689,0.570707023,0.586335927,0.485548213,0.289243096,0.290550917,0.240109945,0.273301319,0.997883849,0.984194504,0.993641729,0.995568395,0.101013542,0.045889683,0.047974335,0.9954
11,0.308536094,0.527862016,0.275519283,0.384382499,0.289981583,0.316627788,0.311530114,0.337380992,0.195639343,0.281516816,0.246971054,0.446599553,0.560053594,0.417874734,0.275519283,0.384382499,0.289981583,0.316627788,0.998503947,0.994120049,0.995560127,0.995892179,0.102794859,0.066673406,0.054828033,0.9954
