Epoch,Train Loss,Train Accuracy,Total Dice,Total Recall,Total F1 Score,WT Dice,WT Prec,WT Recall,WT F1,WT Spec,WT Boundary DICE,TC Dice,TC Prec,TC Recall,TC F1,TC Spec,TC Boundary DICE,ET Dice,ET Prec,ET Recall,ET F1,ET Spec,ET Boundary DICE,Val_Loss,Val_Acc
2,0.8841,0.4822,0.0732,0.3568,0.0732,0.0034,0.0017,0.1728,0.0034,0.7834,0.0019,0.2161,0.1333,0.8939,0.2161,0.9565,0.0666,0.0001,0,0.0036,0.0001,0.7411,0.0001,0.8799,0.8118
3,0.8737,0.595,0.1007,0.3523,0.1007,0.0028,0.0014,0.1006,0.0028,0.8318,0.0022,0.2992,0.1929,0.9543,0.2992,0.9724,0.0537,0.0001,0,0.0022,0.0001,0.79,0.0001,0.8668,0.834
4,0.8684,0.6749,0.124,0.3624,0.124,0.0032,0.0017,0.1289,0.0032,0.8306,0.0027,0.3687,0.2466,0.9544,0.3687,0.9814,0.0496,0.0002,0.0001,0.0039,0.0002,0.8622,0.0001,0.8608,0.8471
5,0.8646,0.7089,0.1367,0.3719,0.1367,0.0035,0.0018,0.1545,0.0035,0.8307,0.0033,0.4065,0.2765,0.9566,0.4065,0.9849,0.0516,0.0002,0.0001,0.0045,0.0002,0.8927,0.0002,0.8618,0.8587
6,0.861,0.7132,0.1405,0.3831,0.1405,0.004,0.0021,0.1837,0.004,0.8317,0.0041,0.4172,0.2853,0.9608,0.4172,0.9856,0.0493,0.0003,0.0001,0.0047,0.0003,0.8953,0.0002,0.857,0.8824
7,0.8574,0.7175,0.143,0.3908,0.143,0.0048,0.0025,0.2074,0.0048,0.8347,0.0046,0.4239,0.2914,0.9603,0.4239,0.986,0.048,0.0002,0.0001,0.0046,0.0002,0.8962,0.0002,0.8542,0.9117
8,0.8535,0.7206,0.1439,0.4072,0.1439,0.0055,0.0028,0.2512,0.0055,0.8369,0.0055,0.4261,0.2923,0.9656,0.4261,0.9862,0.0446,0.0002,0.0001,0.0048,0.0002,0.897,0.0002,0.8533,0.8946
9,0.8494,0.7446,0.1473,0.4295,0.1473,0.0068,0.0035,0.3148,0.0068,0.838,0.0066,0.4347,0.3007,0.9693,0.4347,0.9866,0.0486,0.0005,0.0003,0.0046,0.0005,0.9194,0.0004,0.8571,0.8496
10,0.8452,0.8216,0.1559,0.4433,0.1559,0.0072,0.0037,0.357,0.0072,0.839,0.0071,0.4582,0.3212,0.9687,0.4582,0.9881,0.0535,0.0023,0.0019,0.004,0.0023,0.9941,0.0019,0.8486,0.9231
11,0.8406,0.8266,0.1673,0.4687,0.1673,0.0089,0.0046,0.4355,0.0089,0.8395,0.0087,0.4907,0.3525,0.968,0.4907,0.9897,0.066,0.0021,0.0022,0.0026,0.0021,0.997,0.002,0.8483,0.9016
