epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
1,0.8868,0.8813,0.1107,0.1372,0.0284,0.3694,0.0284,0.0043,0.0024,0.0325,0.0043,0.8902,0.0007,0.0104,0.0053,0.574,0.0104,0.2888,0.0062,0.0703,0.0438,0.5017,0.0703,0.9536,0.0431
2,0.8677,0.8668,0.3675,0.8383,0.077,0.4279,0.077,0.0039,0.0022,0.0204,0.0039,0.9342,0.0006,0.1133,0.0641,0.7599,0.1133,0.9278,0.0204,0.1136,0.0971,0.5035,0.1136,0.9759,0.0553
3,0.857,0.8558,0.9003,0.9029,0.1245,0.4138,0.1245,0.0127,0.0076,0.0506,0.0127,0.9557,0.0019,0.1585,0.0968,0.6257,0.1585,0.9649,0.03,0.2025,0.1807,0.5651,0.2025,0.9829,0.0835
4,0.8518,0.8552,0.9358,0.9016,0.1204,0.4385,0.1204,0.0164,0.0113,0.0397,0.0164,0.9781,0.0021,0.1668,0.0973,0.8747,0.1668,0.9434,0.0181,0.1778,0.1957,0.4013,0.1778,0.9799,0.0948
5,0.8473,0.8449,0.9574,0.9567,0.1854,0.4266,0.1818,0.055,0.0414,0.1074,0.055,0.987,0.0091,0.2604,0.1624,0.8306,0.2604,0.9751,0.0341,0.2406,0.2788,0.3418,0.2299,0.9953,0.1221
6,0.8429,0.8531,0.9641,0.9236,0.1098,0.4438,0.1098,0.0581,0.0444,0.1058,0.0581,0.9836,0.0092,0.1562,0.0997,0.5241,0.1562,0.9711,0.0326,0.1151,0.0696,0.7015,0.1151,0.9688,0.0261
7,0.8389,0.8382,0.967,0.9409,0.198,0.5306,0.198,0.1198,0.0903,0.2718,0.1198,0.9893,0.0331,0.1947,0.1161,0.8708,0.1947,0.9558,0.0296,0.2794,0.2836,0.4493,0.2794,0.9956,0.1827
8,0.8345,0.8368,0.9704,0.9238,0.1694,0.5334,0.1694,0.1352,0.1047,0.2682,0.1352,0.9907,0.0323,0.1675,0.1011,0.7427,0.1675,0.9553,0.0301,0.2057,0.1665,0.5891,0.2057,0.9776,0.1149
9,0.8307,0.8279,0.9729,0.9511,0.2105,0.5431,0.2105,0.1168,0.0934,0.2332,0.1168,0.9921,0.0324,0.2327,0.1442,0.8622,0.2327,0.9635,0.0388,0.2821,0.2377,0.5339,0.2821,0.9954,0.1724
10,0.8267,0.8317,0.9756,0.9526,0.2378,0.5902,0.2378,0.2109,0.1605,0.5195,0.2109,0.988,0.0541,0.2113,0.1322,0.6919,0.2113,0.9727,0.0448,0.2914,0.2612,0.5592,0.2914,0.9919,0.1988
