epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
1,0.8986,0.8931,0.0772,0.0783,0.0484,0.3018,0.0484,0.001,0.0175,0.0006,0.001,0.9999,0.0013,0.1434,0.0846,0.7694,0.1434,0.9408,0.0497,0.0007,0.0004,0.1352,0.0007,0.1373,0.0041
2,0.8841,0.8751,0.1673,0.5547,0.0415,0.3168,0.0415,0.0,0.0082,0.0,0.0,1.0,0.0,0.1232,0.0696,0.8454,0.1232,0.9209,0.0223,0.0013,0.0007,0.1049,0.0013,0.6339,0.0009
3,0.8757,0.8735,0.2938,0.319,0.069,0.3568,0.069,0.0,0.0,0.0,0.0,1.0,0.0,0.2052,0.1238,0.8282,0.2052,0.9604,0.0425,0.0017,0.0009,0.2424,0.0017,0.3582,0.0035
4,0.8698,0.8682,0.6223,0.7986,0.0627,0.406,0.0627,0.0003,0.0451,0.0002,0.0003,1.0,0.0009,0.1751,0.1085,0.6908,0.1751,0.9593,0.0406,0.0127,0.0065,0.5272,0.0127,0.8393,0.0044
5,0.8643,0.8637,0.8629,0.8632,0.0777,0.4078,0.0777,0.0,0.0,0.0,0.0,1.0,0.0,0.2147,0.1324,0.7381,0.2147,0.9704,0.0388,0.0183,0.0095,0.4851,0.0183,0.8936,0.0048
6,0.8589,0.8613,0.9048,0.902,0.0753,0.3933,0.0753,0.0,0.0,0.0,0.0,1.0,0.0,0.1924,0.1293,0.5148,0.1924,0.9801,0.0479,0.0334,0.0176,0.665,0.0334,0.9227,0.0049
7,0.8537,0.8531,0.9418,0.9284,0.1013,0.4483,0.1013,0.0,0.0,0.0,0.0,1.0,0.0,0.2543,0.1611,0.8655,0.2543,0.9643,0.0478,0.0496,0.0274,0.4794,0.0496,0.9644,0.0155
8,0.8504,0.8578,0.9589,0.9204,0.085,0.415,0.085,0.0,0.0,0.0,0.0,1.0,0.0511,0.1958,0.1367,0.5454,0.1958,0.9749,0.0511,0.0593,0.0326,0.6997,0.0593,0.9458,0.01
9,0.8485,0.8465,0.9668,0.9488,0.1235,0.4664,0.1235,0.0,0.0,0.0,0.0,1.0,0.0,0.2998,0.1929,0.8925,0.2998,0.9738,0.0535,0.0707,0.0402,0.5066,0.0707,0.9752,0.0231
10,0.8466,0.8485,0.9686,0.9544,0.1341,0.4554,0.1341,0.0,0.0,0.0,0.0,1.0,0.0,0.3214,0.2211,0.7687,0.3214,0.9811,0.0732,0.0807,0.046,0.5974,0.0807,0.974,0.0206
11,0.8445,0.8468,0.9717,0.959,0.1431,0.4696,0.1431,0.0,0.0108,0.0,0.0,1.0,0.0001,0.3411,0.2311,0.8217,0.3411,0.9817,0.0754,0.0881,0.0507,0.587,0.0881,0.9778,0.0245
12,0.8427,0.8427,0.9733,0.9624,0.1489,0.4593,0.1489,0.0,0.0914,0.0,0.0,1.0,0.0001,0.3556,0.2475,0.7998,0.3556,0.9833,0.0833,0.0911,0.0528,0.5782,0.0911,0.9798,0.0279
13,0.8408,0.8427,0.9745,0.9546,0.1362,0.462,0.1362,0.0,0.0896,0.0,0.0,1.0,0.0001,0.3136,0.2163,0.7663,0.3136,0.979,0.0736,0.0949,0.055,0.6198,0.0949,0.9761,0.0279
14,0.8393,0.8415,0.9759,0.9636,0.1542,0.4594,0.1542,0.0001,0.1394,0.0,0.0001,1.0,0.0002,0.3598,0.2554,0.749,0.3598,0.9863,0.093,0.1028,0.0601,0.6291,0.1028,0.9781,0.0319
15,0.8383,0.84,0.9767,0.9649,0.1562,0.4563,0.1562,0.0001,0.1366,0.0,0.0001,1.0,0.0001,0.3659,0.2527,0.8251,0.3659,0.9836,0.0806,0.1026,0.0609,0.5437,0.1026,0.9821,0.038
16,0.8374,0.8413,0.9769,0.9479,0.132,0.4643,0.132,0.0,0.1436,0.0,0.0,1.0,0.0,0.3009,0.2047,0.7387,0.3009,0.9786,0.073,0.095,0.0548,0.6543,0.095,0.9696,0.0242
17,0.8364,0.8391,0.9773,0.9712,0.1728,0.4687,0.1728,0.0001,0.1886,0.0001,0.0001,1.0,0.0002,0.4077,0.2883,0.8247,0.4077,0.9877,0.1005,0.1105,0.0655,0.5815,0.1105,0.9843,0.0353
